source_airport,dest_airport,airline,equipment
AMS,LIN,AP,32S 321
AMS,PMO,AP,320
ATH,VCE,AP,320
BLQ,CTA,AP,320
BLQ,TIA,AP,320
BRI,LIN,AP,32S
CDG,CTA,AP,320
CDG,PMO,AP,320
CPH,VCE,AP,320
CTA,AMS,AP,320
CTA,BLQ,AP,320
CTA,CDG,AP,320
CTA,LGW,AP,320
CTA,LIN,AP,319 E90
CTA,LYS,AP,320
CTA,MXP,AP,320
CTA,PSA,AP,320
CTA,SVO,AP,320
CTA,TRN,AP,320
CTA,VCE,AP,320
CTA,VIE,AP,320
CTA,VRN,AP,320
GOA,TIA,AP,320
LED,VCE,AP,320
LGW,CTA,AP,320
LGW,PMO,AP,320
LIN,AMS,AP,32S 321
LIN,BRI,AP,32S E75 319
LIN,CTA,AP,319 E90
LIN,NAP,AP,E90 32S
LIN,PMO,AP,32S 320 E75
LYS,CTA,AP,320
MXP,CTA,AP,320
MXP,TIA,AP,320
NAP,LIN,AP,E90 32S
PMO,AMS,AP,320
PMO,CDG,AP,320
PMO,LGW,AP,320
PMO,LIN,AP,32S E75
PMO,SVO,AP,320
PMO,TRN,AP,320
PMO,TXL,AP,320
PMO,VCE,AP,320
PMO,VRN,AP,320
PRG,PSA,AP,320
PRG,VCE,AP,320
PSA,CTA,AP,320
PSA,PRG,AP,320
PSA,SVO,AP,320
PSA,TIA,AP,320
PSA,TXL,AP,320
SUF,TRN,AP,320
SUF,VCE,AP,320
SVO,CTA,AP,320
SVO,PMO,AP,320
SVO,PSA,AP,320
TIA,BLQ,AP,320
TIA,GOA,AP,320
TIA,MXP,AP,320
TIA,PSA,AP,320
TIA,VCE,AP,320
TIA,VRN,AP,320
TRN,CTA,AP,320
TRN,PMO,AP,320
TRN,SUF,AP,320
TXL,PMO,AP,320
TXL,PSA,AP,320
VCE,ATH,AP,320
VCE,CPH,AP,320
VCE,CTA,AP,320
VCE,LED,AP,320
VCE,PMO,AP,320
VCE,PRG,AP,320
VCE,SUF,AP,320
VCE,TIA,AP,320
VIE,CTA,AP,320
VRN,CTA,AP,320
VRN,PMO,AP,320
VRN,TIA,AP,320
AEP,AFA,AR,E90
AEP,ASU,AR,737
AEP,BHI,AR,737
AEP,BRC,AR,737
AEP,COR,AR,737
AEP,CPC,AR,E90
AEP,CRD,AR,737
AEP,CTC,AR,E90
AEP,CWB,AR,E90
AEP,EQS,AR,E90
AEP,FLN,AR,737
AEP,FMA,AR,E90
AEP,FTE,AR,737
AEP,GIG,AR,737
AEP,GRU,AR,737
AEP,IGR,AR,737
AEP,IRJ,AR,E90
AEP,JUJ,AR,737
AEP,LUQ,AR,E90
AEP,MDZ,AR,737
AEP,NQN,AR,737
AEP,POA,AR,737
AEP,PSS,AR,737
AEP,REL,AR,737
AEP,RES,AR,737
AEP,RGA,AR,737
AEP,RGL,AR,737
AEP,RHD,AR,E90
AEP,RSA,AR,E90
AEP,SCL,AR,737
AEP,SDE,AR,737
AEP,SLA,AR,737
AEP,TUC,AR,737
AEP,UAQ,AR,737
AEP,USH,AR,737
AEP,VDM,AR,E90
AFA,AEP,AR,E90
AFA,LUQ,AR,E90
ASU,AEP,AR,737
ASU,EZE,AR,737
BCN,EZE,AR,340
BHI,AEP,AR,737
BOG,EZE,AR,340
BRC,AEP,AR,737
BRC,COR,AR,737
BRC,EZE,AR,737
BRC,MDZ,AR,737
BSB,EZE,AR,737
CCS,EZE,AR,340
CNF,AEP,AR,E90
COR,AEP,AR,737
COR,BRC,AR,737
COR,EZE,AR,737
COR,JUJ,AR,E90
COR,SLA,AR,E90
CPC,AEP,AR,E90
CRD,AEP,AR,737
CTC,AEP,AR,E90
CUN,EZE,AR,340
CWB,AEP,AR,E90
EQS,AEP,AR,E90
EZE,ASU,AR,737
EZE,BCN,AR,340
EZE,BOG,AR,340
EZE,BRC,AR,737
EZE,BSB,AR,737
EZE,CCS,AR,340
EZE,COR,AR,737
EZE,CUN,AR,340
EZE,FCO,AR,340
EZE,FTE,AR,737
EZE,GIG,AR,737
EZE,GRU,AR,E90
EZE,IGR,AR,737
EZE,LIM,AR,737
EZE,MAD,AR,340
EZE,MDZ,AR,E90
EZE,REL,AR,737
EZE,ROS,AR,E90
EZE,USH,AR,340
EZE,VVI,AR,737
FCO,EZE,AR,340
FLN,AEP,AR,737
FMA,AEP,AR,E90
FTE,AEP,AR,737
FTE,EZE,AR,737
FTE,USH,AR,737
GIG,AEP,AR,737
GIG,EZE,AR,737
GRU,AEP,AR,737
GRU,EZE,AR,E90
IGR,AEP,AR,737
IGR,EZE,AR,737
IGR,SLA,AR,E90
IRJ,AEP,AR,E90
JUJ,AEP,AR,737
JUJ,COR,AR,E90
LIM,EZE,AR,737
LUQ,AEP,AR,E90
MAD,EZE,AR,340
MDZ,AEP,AR,737
MDZ,BRC,AR,737
MDZ,EZE,AR,E90
MDZ,SLA,AR,E90
NQN,AEP,AR,737
POA,AEP,AR,737
PSS,AEP,AR,737
REL,AEP,AR,737
REL,EZE,AR,737
RES,AEP,AR,737
RGA,AEP,AR,737
RGL,AEP,AR,737
RHD,AEP,AR,E90
ROS,EZE,AR,E90
RSA,AFA,AR,E90
SCL,AEP,AR,737
SDE,AEP,AR,737
SLA,AEP,AR,737
SLA,COR,AR,E90
SLA,IGR,AR,E90
SLA,MDZ,AR,E90
TUC,AEP,AR,737
UAQ,AEP,AR,737
USH,AEP,AR,737
USH,EZE,AR,340
USH,FTE,AR,737
VDM,REL,AR,E90
VVI,EZE,AR,737
ADK,ANC,AS,734 73Q
AKN,ANC,AS,SF3
ALW,SEA,AS,DH4
ANC,ADK,AS,734 73Q
ANC,AKN,AS,SF3
ANC,BRW,AS,73Q
ANC,CDB,AS,SF3
ANC,DLG,AS,SF3
ANC,HNL,AS,73H
ANC,JNU,AS,734 73Q
ANC,LAS,AS,73H
ANC,MCG,AS,SF3
ANC,OME,AS,73Q 734
ANC,ORD,AS,73H
ANC,OTZ,AS,73Q 734
ANC,PDX,AS,73H 73G 734 739
ANC,SCC,AS,73Q
ANC,SDP,AS,SF3
ANC,SEA,AS,73H 73J 734 73Q 739 73G
ANC,SNP,AS,SF3
ANC,STG,AS,SF3
ANI,MCG,AS,SF3
AUS,SEA,AS,739 73H
BIL,PDX,AS,DH4
BIL,SEA,AS,DH4
BLI,HNL,AS,73H
BLI,LAS,AS,73H
BLI,PDX,AS,DH4
BLI,SEA,AS,DH4
BOI,LWS,AS,DH4
BOI,PDX,AS,DH4 CR7
BOI,SAN,AS,CR7
BOI,SEA,AS,DH4
BOI,SJC,AS,DH4
BOI,SMF,AS,DH4
BOS,ISP,AS,SF3
BOS,PBG,AS,SF3
BOS,PQI,AS,SF3
BRW,ANC,AS,73Q
BRW,FAI,AS,73H 73Q
BRW,SCC,AS,73Q
BZN,SEA,AS,DH4
CDB,ANC,AS,SF3
CDV,YAK,AS,73Q
COS,SEA,AS,CR7
DCA,SEA,AS,73H
DLG,ANC,AS,SF3
DTW,PDX,AS,739
DTW,SAN,AS,753 739 757
EAT,SEA,AS,DH4
EUG,SEA,AS,DH4
FAI,SEA,AS,73J 73H 73G 739
FAT,PDX,AS,DH4
FAT,SAN,AS,DH4
FAT,SEA,AS,CR7
FCA,SEA,AS,DH4
FLL,SEA,AS,73H
GEG,PDX,AS,DH4
GEG,SEA,AS,734
GTF,HLN,AS,DH4
GTF,SEA,AS,DH4
HLN,GTF,AS,DH4
HLN,SEA,AS,DH4
HNL,ANC,AS,73H
HNL,BLI,AS,73H
HNL,PDX,AS,73H
HNL,SAN,AS,73H
HNL,SEA,AS,73H
IAH,SEA,AS,73J
ISP,BOS,AS,SF3
JNU,ANC,AS,734 73Q
JNU,PSG,AS,73Q
JNU,SEA,AS,734 73Q 73H
JNU,SIT,AS,734
JNU,YAK,AS,73Q
KOA,SEA,AS,73H
KTN,SIT,AS,734
KTN,WRG,AS,73Q
LAS,ANC,AS,73H
LAS,BLI,AS,73H
LAS,PDX,AS,73G 73H
LAS,SEA,AS,73G 73H 739 73J
LAX,LTO,AS,DH4
LAX,MSY,AS,319
LIH,SAN,AS,73H
LIH,SEA,AS,73H
LTO,LAX,AS,DH4
LWS,BOI,AS,DH4
LWS,PUW,AS,DH4
LWS,SEA,AS,DH4
MCG,ANC,AS,SF3
MCG,ANI,AS,SF3
MFR,PDX,AS,DH4
MFR,SEA,AS,DH4
MRY,SAN,AS,DH4
MSO,PDX,AS,DH4
MSO,SEA,AS,DH4
MSP,SAN,AS,738 739
MSY,LAX,AS,319
MSY,SLC,AS,319 320
OGG,PDX,AS,73H
OGG,SAN,AS,73H
OGG,SEA,AS,73H
OMA,SEA,AS,CR7
OME,ANC,AS,73Q 734
ORD,ANC,AS,73H
OTZ,ANC,AS,73Q 734
PBG,BOS,AS,SF3
PDX,ANC,AS,73H 734 73J 73G
PDX,BIL,AS,DH4
PDX,BLI,AS,DH4
PDX,BOI,AS,DH4 CR7
PDX,DTW,AS,739
PDX,EUG,AS,DH4
PDX,FAT,AS,DH4
PDX,GEG,AS,DH4
PDX,HNL,AS,73H
PDX,LAS,AS,73H 73G
PDX,MFR,AS,DH4
PDX,MSO,AS,DH4
PDX,OGG,AS,73H
PDX,PSC,AS,DH4
PDX,PSP,AS,734 73J
PDX,RDM,AS,DH4
PDX,RNO,AS,DH4
PDX,SBA,AS,CR7
PDX,SEA,AS,DH4 CR7
PDX,SLC,AS,757 320 73H
PDX,SMF,AS,DH4
PDX,STS,AS,DH4
PDX,TUS,AS,CR7
PQI,BOS,AS,SF3
PSC,PDX,AS,DH4
PSC,SEA,AS,DH4
PSG,JNU,AS,73Q
PSG,WRG,AS,73Q
PSP,PDX,AS,73G
PSP,SEA,AS,73H 734 73J
PSP,SMF,AS,DH4
PUW,LWS,AS,DH4
PUW,SEA,AS,DH4
RDM,PDX,AS,DH4
RDM,SEA,AS,DH4
RNO,PDX,AS,DH4
RNO,SEA,AS,DH4
RNO,SJC,AS,DH4
SAN,BOI,AS,CR7
SAN,DTW,AS,753 757
SAN,FAT,AS,DH4
SAN,HNL,AS,73H
SAN,LIH,AS,73H
SAN,MRY,AS,DH4
SAN,MSP,AS,320 738 739
SAN,OGG,AS,73H
SAN,SJD,AS,73H
SAN,SLC,AS,738 319 320
SAT,SEA,AS,73H 73J
SBA,PDX,AS,CR7
SBA,SEA,AS,CR7
SCC,ANC,AS,73Q
SCC,BRW,AS,73H 73Q
SDP,ANC,AS,SF3
SEA,ALW,AS,DH4
SEA,ANC,AS,73J 73H 734 739 73Q 73G
SEA,AUS,AS,739 73H
SEA,BIL,AS,DH4
SEA,BLI,AS,DH4
SEA,BOI,AS,DH4
SEA,BZN,AS,DH4
SEA,COS,AS,CR7
SEA,DCA,AS,73H
SEA,EAT,AS,DH4
SEA,EUG,AS,DH4
SEA,FAI,AS,73G 73J 739 73H
SEA,FAT,AS,CR7
SEA,FCA,AS,DH4
SEA,FLL,AS,73H
SEA,GEG,AS,734
SEA,GTF,AS,DH4
SEA,IAH,AS,73J
SEA,JNU,AS,73Q 734 73H
SEA,KOA,AS,73H
SEA,LAS,AS,73H 739 73G 73J
SEA,LIH,AS,73H
SEA,LWS,AS,DH4
SEA,MFR,AS,DH4
SEA,MSO,AS,DH4
SEA,MSP,AS,739 73G 73J
SEA,OGG,AS,73H
SEA,OMA,AS,CR7
SEA,PDX,AS,DH4 CR7
SEA,PSC,AS,DH4
SEA,PSP,AS,73G 73H
SEA,PUW,AS,DH4
SEA,RDM,AS,DH4
SEA,RNO,AS,DH4
SEA,SAT,AS,73H 73J
SEA,SBA,AS,CR7
SEA,SLC,AS,739 734 73H 73G
SEA,STS,AS,DH4
SEA,TUS,AS,73J
SEA,YEG,AS,DH4
SEA,YKM,AS,DH4
SEA,YLW,AS,DH4
SEA,YYC,AS,DH4
SEA,YYJ,AS,DH4
SIT,JNU,AS,734
SIT,KTN,AS,734
SJC,BOI,AS,DH4
SJC,RNO,AS,DH4
SJD,SAN,AS,73H
SLC,CVG,AS,73H
SLC,MSY,AS,319 320
SLC,PDX,AS,320 73H 757
SLC,SAN,AS,319 738 320
SLC,SEA,AS,739 734 73H 73G
SMF,BOI,AS,DH4
SMF,PDX,AS,DH4
SMF,PSP,AS,DH4
SNP,ANC,AS,SF3
STG,ANC,AS,SF3
STS,PDX,AS,DH4
STS,SEA,AS,DH4
TUS,PDX,AS,CR7
TUS,SEA,AS,73J
WRG,KTN,AS,73Q
WRG,PSG,AS,73Q
YAK,CDV,AS,73Q
YAK,JNU,AS,73Q
YEG,SEA,AS,DH4
YKM,SEA,AS,DH4
YLW,SEA,AS,DH4
YYC,SEA,AS,DH4
YYJ,SEA,AS,DH4
ABJ,CMN,AT,738 73G
ACC,CMN,AT,738 73G
AGA,BRU,AT,319
AGA,CMN,AT,73G AT7 738
AGA,EUN,AT,738
AGA,ORY,AT,738
AGA,VIL,AT,738
AGP,CMN,AT,AT7
AHU,CMN,AT,AT7
AMS,CMN,AT,738
ARN,CMN,AT,738
AUH,CMN,AT,333 346 332
BEY,CMN,AT,738
BGF,CMN,AT,738
BJL,CMN,AT,738
BJL,OXB,AT,738
BJL,RAI,AT,738
BKO,CMN,AT,738
BOD,CMN,AT,738 73G
BOD,RAK,AT,738
BRU,AGA,AT,319
BRU,OUD,AT,73G
BRU,RAK,AT,319
BZV,CMN,AT,738
BZV,PNR,AT,738
CAI,CMN,AT,738
CAI,RUH,AT,738
CKY,CMN,AT,73G 738
CMN,ABJ,AT,73G 738
CMN,AGA,AT,73G AT7 738
CMN,AGP,AT,AT7
CMN,AMS,AT,738
CMN,ARN,AT,738
CMN,AUH,AT,333 346 332
CMN,BEY,AT,738
CMN,BJL,AT,738
CMN,BKO,AT,738
CMN,BOD,AT,738 73G
CMN,BZV,AT,738
CMN,CAI,AT,738
CMN,CKY,AT,73G 738
CMN,COO,AT,738
CMN,DKR,AT,738
CMN,DLA,AT,738
CMN,EUN,AT,738
CMN,FCO,AT,738 73G
CMN,FEZ,AT,AT7 738
CMN,FIH,AT,738
CMN,FNA,AT,73G
CMN,FRA,AT,73G 738
CMN,GRU,AT,763
CMN,GVA,AT,738
CMN,IST,AT,738
CMN,JED,AT,763 738
CMN,JFK,AT,763
CMN,LAD,AT,763
CMN,LBV,AT,738
CMN,LFW,AT,738 73G
CMN,LHR,AT,738
CMN,LIS,AT,738 AT7
CMN,LPA,AT,AT7
CMN,MAD,AT,738 73G
CMN,MRS,AT,738
CMN,MUC,AT,73G
CMN,MXP,AT,738 73G
CMN,NCE,AT,738
CMN,NDR,AT,738 AT7
CMN,NIM,AT,738
CMN,NKC,AT,738 73G
CMN,NSI,AT,738
CMN,NTE,AT,73G 738
CMN,ORY,AT,738 763
CMN,OUA,AT,738 73G
CMN,OUD,AT,73G AT7 738
CMN,OXB,AT,738 73G
CMN,OZZ,AT,AT7 738
CMN,PNR,AT,738
CMN,RAI,AT,738 73G
CMN,RAK,AT,738 AT7 73G
CMN,RBA,AT,AT7
CMN,ROB,AT,738 73G
CMN,SSG,AT,738
CMN,SVO,AT,738 73G
CMN,SXB,AT,73G
CMN,TFN,AT,AT7
CMN,TNG,AT,AT7 738 73G
CMN,TRN,AT,73G 738
CMN,TTU,AT,AT7
CMN,TUN,AT,738 73G
CMN,TXL,AT,738 73G
CMN,VIL,AT,738
CMN,VLC,AT,AT7
CMN,YUL,AT,763
CMN,ZRH,AT,738 73G
COO,LOS,AT,738
CPH,CMN,AT,738 73G
DKR,CMN,AT,738
DLA,BGF,AT,738
DLA,CMN,AT,738
DLA,NSI,AT,738
ESU,ORY,AT,738
EUN,AGA,AT,738
EUN,CMN,AT,738
FCO,CMN,AT,738 73G
FEZ,CMN,AT,AT7 738
FEZ,ORY,AT,738
FIH,BZV,AT,738
FNA,CMN,AT,738 73G
FRA,CMN,AT,73G 738
FRA,NDR,AT,738
GRU,CMN,AT,763
GVA,CMN,AT,738
IST,CMN,AT,738
JED,CMN,AT,763 738
JFK,CMN,AT,763
LAD,CMN,AT,763
LBV,CMN,AT,738
LBV,SSG,AT,738
LFW,ACC,AT,738
LGW,RAK,AT,738
LHR,CMN,AT,738
LHR,TNG,AT,73G
LIS,CMN,AT,738 AT7
LOS,CMN,AT,738
LPA,CMN,AT,AT7
LPA,TFN,AT,AT7
LYS,RAK,AT,738
MAD,CMN,AT,738 73G
MAD,RAK,AT,738
MAD,TNG,AT,AT7
MRS,CMN,AT,738
MUC,CMN,AT,73G
MUC,RAK,AT,738
MXP,CMN,AT,738 73G
MXP,RAK,AT,738
NCE,CMN,AT,738
NCE,RAK,AT,738
NDR,CMN,AT,738 AT7
NDR,FRA,AT,738
NIM,CMN,AT,738 73G
NKC,CMN,AT,738 73G
NSI,CMN,AT,738
NSI,DLA,AT,738
NTE,CMN,AT,73G 738
NTE,RAK,AT,738
ORY,AGA,AT,738
ORY,CMN,AT,738 763
ORY,ESU,AT,738
ORY,FEZ,AT,738
ORY,OUD,AT,738
ORY,OZZ,AT,738
ORY,RAK,AT,738 744
ORY,RBA,AT,738
ORY,TNG,AT,738 73G
OUA,CMN,AT,738
OUD,BRU,AT,73G
OUD,CMN,AT,73G AT7 738
OUD,ORY,AT,738
OXB,BJL,AT,738
OXB,CMN,AT,738
OXB,RAI,AT,73G
OZZ,CMN,AT,738 AT7
OZZ,ORY,AT,738
PNR,BZV,AT,738
PNR,CMN,AT,738
RAI,BJL,AT,738
RAI,CMN,AT,73G 738
RAI,OXB,AT,738
RAK,BOD,AT,738
RAK,BRU,AT,319
RAK,CMN,AT,738 AT7 73G
RAK,LGW,AT,738
RAK,LYS,AT,738
RAK,MAD,AT,738
RAK,MUC,AT,738
RAK,MXP,AT,738
RAK,NCE,AT,738
RAK,NTE,AT,738
RAK,ORY,AT,738 744
RBA,CMN,AT,AT7
RBA,ORY,AT,738
ROB,CMN,AT,73G
RUH,CAI,AT,738
SSG,CMN,AT,738
SSG,LBV,AT,738
SVO,CMN,AT,738 73G
SXB,CMN,AT,73G
TFN,CMN,AT,AT7
TNG,CMN,AT,AT7 738 73G
TNG,LHR,AT,73G
TNG,MAD,AT,AT7
TNG,ORY,AT,73G 738
TRN,CMN,AT,73G 738
TTA,CMN,AT,AT7
TTU,AHU,AT,AT7
TUN,CMN,AT,738 73G
VIL,AGA,AT,738
VIL,CMN,AT,738
VLC,CMN,AT,AT7
YUL,CMN,AT,763
ZRH,CMN,AT,738 73G
ADZ,BOG,AV,320
ANF,LIM,AV,319
ANF,SCL,AV,319
ASU,LIM,AV,E90
AUA,BOG,AV,320 319
AXM,BOG,AV,AT7 320 318 319
BAQ,BOG,AV,319 318 320
BAQ,CLO,AV,320 318
BAQ,MDE,AV,318 319 320
BAQ,MIA,AV,318 320
BCN,BOG,AV,330
BGA,BOG,AV,320 319 AT7 318
BGA,MDE,AV,320
BOG,ADZ,AV,320
BOG,AUA,AV,320 319
BOG,AXM,AV,AT7 320 318 319
BOG,BAQ,AV,320 318 319
BOG,BCN,AV,330
BOG,BGA,AV,320 319 AT7 318
BOG,CCS,AV,320 330
BOG,CLO,AV,320 319 AT7 318 330
BOG,CTG,AV,318 320 319
BOG,CUC,AV,320 319 318
BOG,CUN,AV,319 320
BOG,CUR,AV,319 318 320
BOG,EJA,AV,320 AT7 318 319
BOG,EWR,AV,73G
BOG,EYP,AV,AT7
BOG,FLL,AV,320
BOG,FRA,AV,346
BOG,GIG,AV,319
BOG,GRU,AV,319 330
BOG,GUA,AV,318
BOG,HAV,AV,318 319
BOG,IAD,AV,319
BOG,IAH,AV,752 73G
BOG,IBE,AV,AT7
BOG,JFK,AV,319 330
BOG,LET,AV,320 E90 318
BOG,LIM,AV,320 330
BOG,LPB,AV,319
BOG,MAD,AV,330
BOG,MCO,AV,319
BOG,MDE,AV,320 319 318
BOG,MTR,AV,318 320 319
BOG,MZL,AV,AT7
BOG,NVA,AV,318 AT7
BOG,PEI,AV,320 318 AT7 319
BOG,PPN,AV,AT7 318
BOG,PTY,AV,319 330 73G 320
BOG,PUJ,AV,320 319
BOG,RCH,AV,320 318 319
BOG,SAL,AV,320 E90 319
BOG,SCL,AV,330
BOG,SDQ,AV,319
BOG,SJO,AV,319
BOG,SJU,AV,319
BOG,SMR,AV,320 318 319
BOG,VUP,AV,320 318 319
BZE,SAL,AV,E90
CCS,BOG,AV,320 330
CCS,LIM,AV,E90
CLO,BAQ,AV,318 320
CLO,BOG,AV,318 320 319 AT7 330
CLO,CTG,AV,318 320
CLO,LIM,AV,E90
CLO,MAD,AV,330
CLO,MDE,AV,320 319 AT7 318
CLO,PSO,AV,AT7
CLO,SAL,AV,E90
CLO,TCO,AV,AT7
CTG,BOG,AV,318 320 319
CTG,CLO,AV,318 320
CTG,MDE,AV,320 318
CTG,MIA,AV,318 320
CUC,BOG,AV,320 319 318
CUC,MDE,AV,318
CUN,BOG,AV,319 320
CUN,SAL,AV,321 320 E90
CUR,BOG,AV,319 318 320
EJA,BOG,AV,320 AT7 318 319
EWR,BOG,AV,73G
EWR,SAL,AV,320 738
EYP,BOG,AV,AT7
FLL,BOG,AV,320
FRA,BOG,AV,346
GIG,BOG,AV,319
GIG,LIM,AV,320
GRU,BOG,AV,319 330
GRU,LIM,AV,321
GUA,BOG,AV,318
GUA,LAX,AV,320
GUA,SAL,AV,E90 319 320 321
GUA,SJO,AV,320
GYE,LIM,AV,320 319
GYE,SAL,AV,E90
HAV,BOG,AV,318 319
IAD,BOG,AV,319
IAD,SAL,AV,319 321 320
IAH,BOG,AV,752 73G
IAH,SAL,AV,738 E90
IBE,BOG,AV,AT7
JFK,BOG,AV,319 330
JFK,MDE,AV,319
JFK,SAL,AV,320 321
JFK,SAP,AV,320
LAX,GUA,AV,320
LAX,SAL,AV,320 321 319
LET,BOG,AV,320 E90 318
LIM,ANF,AV,319
LIM,ASU,AV,E90
LIM,BOG,AV,320 330
LIM,CCS,AV,E90
LIM,CLO,AV,E90
LIM,GIG,AV,320
LIM,GRU,AV,321
LIM,GYE,AV,320 319
LIM,MDE,AV,319
LIM,MVD,AV,320
LIM,POA,AV,319 320
LIM,SAL,AV,319 321 E90 320
LIM,SDQ,AV,320 319
LIM,SJO,AV,320
LIM,UIO,AV,320
LIR,SAL,AV,ATR
LPB,BOG,AV,319
MAD,BOG,AV,330
MAD,CLO,AV,330
MAD,MDE,AV,330
MCO,BOG,AV,319
MCO,SAL,AV,E90
MDE,BAQ,AV,319 318 320
MDE,BGA,AV,320
MDE,BOG,AV,318 319 320
MDE,CLO,AV,319 318 AT7 320
MDE,CTG,AV,320 318
MDE,CUC,AV,318
MDE,JFK,AV,319
MDE,LIM,AV,319
MDE,MAD,AV,330
MDE,SAL,AV,E90
MDE,SMR,AV,318 320
MIA,BAQ,AV,318 320
MIA,CTG,AV,318 320
MTR,BOG,AV,318 320 319
MVD,LIM,AV,320
MZL,BOG,AV,AT7
NVA,BOG,AV,318 AT7
ORD,SAL,AV,319
PEI,BOG,AV,320 318 AT7 319
POA,LIM,AV,319 320
PPN,BOG,AV,AT7 318
PSO,CLO,AV,AT7
PTY,BOG,AV,319 73G 330 320
PTY,SAL,AV,E90
PTY,SJO,AV,E90 319
PUJ,BOG,AV,320 319
RCH,BOG,AV,320 318 319
RTB,SAL,AV,ATR
SAL,BOG,AV,E90 320 319
SAL,BZE,AV,E90
SAL,CLO,AV,E90
SAL,CUN,AV,321 320 E90
SAL,EWR,AV,320 738
SAL,GUA,AV,E90 319 320 321
SAL,GYE,AV,E90
SAL,IAD,AV,321 319 320
SAL,IAH,AV,738 E90
SAL,JFK,AV,320 321
SAL,LAX,AV,320 319 321
SAL,LIM,AV,321 E90 319 320
SAL,LIR,AV,ATR
SAL,MCO,AV,E90
SAL,MDE,AV,E90
SAL,ORD,AV,319
SAL,PTY,AV,E90
SAL,RTB,AV,ATR
SAL,SAP,AV,320 ATR E90 319
SAL,SFO,AV,319 320
SAL,SJO,AV,320 E90 321 319
SAL,TGU,AV,E90 ATR
SAL,UIO,AV,320 319
SAL,YYZ,AV,320
SAP,JFK,AV,320
SAP,SAL,AV,E90 ATR 320 319
SAP,SJO,AV,ATR
SCL,BOG,AV,330
SDQ,BOG,AV,319
SDQ,LIM,AV,320 319
SFO,SAL,AV,319 320
SJO,BOG,AV,319
SJO,GUA,AV,320
SJO,LIM,AV,320
SJO,PTY,AV,319 E90
SJO,SAL,AV,E90 320 321 319
SJO,SAP,AV,ATR
SJO,TGU,AV,ATR
SJU,BOG,AV,319
SMR,BOG,AV,320 318 319
SMR,MDE,AV,318 320
TCO,CLO,AV,AT7
TGU,SAL,AV,ATR E90
TGU,SJO,AV,ATR
UIO,LIM,AV,320
UIO,SAL,AV,319 320
VUP,BOG,AV,320 318 319
YYZ,SAL,AV,320
ACC,TML,AW,ER4
TML,ACC,AW,ER4
AGP,HEL,AY,320 32B 321
AMS,HEL,AY,320 321
AMS,LIS,AY,320 319
AMS,OPO,AY,100 ER4
ARN,HEL,AY,319 320
AYT,HEL,AY,320
BCN,HEL,AY,321
BKK,HEL,AY,343
BMA,GOT,AY,AR8 AR1
BMA,HEL,AY,ATR AT7
BMA,MMX,AY,AR1 AR8
BMA,UME,AY,AR1 AR8
BNE,HKG,AY,333
BRU,HEL,AY,319 320 343
BRU,LIS,AY,321 320 319 100
BUD,HEL,AY,320 319
CKG,HEL,AY,333
CNS,HKG,AY,333
CPH,HEL,AY,320 319 321
DBV,HEL,AY,320 321
DEL,HEL,AY,333
DME,HEL,AY,319
FCO,HEL,AY,321 32B
GOT,BMA,AY,AR1
GOT,HEL,AY,319 320
GVA,HEL,AY,E90 E70
GVA,LIS,AY,319 320
GZP,HEL,AY,319
HEL,AGP,AY,32B 320 321
HEL,AMS,AY,320 321
HEL,ARN,AY,319 320
HEL,AYT,AY,320
HEL,BCN,AY,321
HEL,BKK,AY,343
HEL,BMA,AY,ATR AT7
HEL,BRU,AY,319 320 343
HEL,BUD,AY,320 319
HEL,CKG,AY,333
HEL,CPH,AY,320 319 321
HEL,DBV,AY,320 321
HEL,DEL,AY,333
HEL,DME,AY,319
HEL,FCO,AY,321 32B
HEL,GOT,AY,319 320
HEL,GVA,AY,E90 E70
HEL,GZP,AY,319
HEL,HKG,AY,343
HEL,ICN,AY,333
HEL,IVL,AY,319 320
HEL,JOE,AY,AT7 ATR E70 E90
HEL,JYV,AY,ATR
HEL,KAJ,AY,AT7
HEL,KAO,AY,AT7
HEL,KEF,AY,75W
HEL,KEM,AY,AT7
HEL,KIX,AY,333
HEL,KOK,AY,AT7
HEL,KRK,AY,319 321 32B
HEL,KUO,AY,319
HEL,LED,AY,ATR
HEL,LIS,AY,320
HEL,LJU,AY,320
HEL,MAD,AY,321
HEL,MHQ,AY,AT7
HEL,MSQ,AY,CR2 733
HEL,MXP,AY,321 320 32B
HEL,NCE,AY,320 32B
HEL,NGO,AY,333
HEL,NRK,AY,AT7
HEL,NRT,AY,333 788
HEL,OSL,AY,319
HEL,OUL,AY,320 319
HEL,PEK,AY,333
HEL,PRG,AY,319 321 320
HEL,PVG,AY,343
HEL,RIX,AY,AT7
HEL,RVN,AY,319 320 321
HEL,SIN,AY,343
HEL,SVL,AY,AT7
HEL,SVO,AY,319 320
HEL,SVX,AY,319
HEL,TAY,AY,AT7
HEL,TKU,AY,AT7 ATR
HEL,TLL,AY,AT7 ATR
HEL,TLV,AY,320
HEL,TMP,AY,AT7 ATR
HEL,VAA,AY,319 32B
HEL,VNO,AY,E90 E70 AT7
HEL,WAW,AY,E70 E90
HEL,XIY,AY,333
HKG,BNE,AY,333
HKG,CNS,AY,333
HKG,HEL,AY,343
HKG,MEL,AY,333
HKG,SYD,AY,388 744
ICN,HEL,AY,333
JOE,HEL,AY,E70 AT7 ATR E90
JYV,HEL,AY,AT7
JYV,KEM,AY,ATR
